% Model:              MRP.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 14 2026, 22:39
% Table:              Table 2 - Global Evaluation 1
% u_in (m/s)                                      Re (1)                                            pe (1)                                            c_bulk (mol/m^3)                                  sc (1)                                            c_wall (mol/m^3)                                  sh (1)                                            Pec (1)
0.005                                             7.750000000000002                                 21.385799828913605                                2004.058271878991                                 2.7594580424404644                                2003.4939410468196                                7.579171156261368                                 1
0.008                                             12.400000000000002                                34.217279726261765                                2002.5812081701017                                2.7594580424404644                                2002.7256765101802                                -29.606209661301587                               1
0.011                                             17.05                                             47.048759623609925                                2001.9032547604477                                2.7594580424404644                                2002.3498578684946                                -9.577094043271357                                1
0.014000000000000002                              21.700000000000006                                59.88023952095809                                 2001.5158171075202                                2.7594580424404644                                2002.119997048648                                 -7.079281642152723                                1
0.017                                             26.350000000000005                                72.71171941830626                                 2001.2638894145862                                2.7594580424404644                                2001.9583378595696                                -6.159074869675512                                1
0.02                                              31.000000000000007                                85.54319931565442                                 2001.0886299759502                                2.7594580424404644                                2001.837798369291                                 -5.709210377535088                                1
0.023000000000000003                              35.65000000000001                                 98.37467921300258                                 2000.9589885864232                                2.7594580424404644                                2001.7419649153355                                -5.462693836126812                                1
0.026000000000000002                              40.30000000000001                                 111.20615911035074                                2000.8585928210873                                2.7594580424404644                                2001.6621220232248                                -5.322967671124949                                1
0.029                                             44.95000000000001                                 124.03763900769891                                2000.7795327176793                                2.7594580424404644                                2001.5955558277694                                -5.241469160487947                                1
0.032                                             49.60000000000001                                 136.86911890504706                                2000.7147693465397                                2.7594580424404644                                2001.5373636891886                                -5.199598081369447                                1
0.034999999999999996                              54.25                                             149.7005988023952                                 2000.6610500671784                                2.7594580424404644                                2001.4863556563532                                -5.182516660355067                                1
0.038                                             58.9                                              162.53207869974338                                2000.616273461124                                 2.7594580424404644                                2001.442040330162                                 -5.179621665816333                                1
0.041                                             63.55000000000001                                 175.36355859709155                                2000.5775809006598                                2.7594580424404644                                2001.4015412551307                                -5.190977869959508                                1
0.044                                             68.2                                              188.1950384944397                                 2000.5440994699386                                2.7594580424404644                                2001.3648981149713                                -5.210973472808633                                1
0.047                                             72.85000000000001                                 201.02651839178787                                2000.515277840691                                 2.7594580424404644                                2001.3324110967935                                -5.234348172516167                                1
0.049999999999999996                              77.5                                              213.857998289136                                  2000.4894836245371                                2.7594580424404644                                2001.3018537063572                                -5.265038756966551                                1
